Month,Year,SO2,Nox,PM10,NH3,AQI
Jan,2016,8.0,22.0,69,27,69
Feb,2016,9.0,25.0,59,24,59
Mar,2016,7.7,32.1,42,25,44
Apr,2016,7.0,29.0,62,21,62
May,2016,5.0,21.0,52,23,52
Jun,2016,5.0,19.0,47,21,48
Jul,2016,4.0,20.0,23,23,32
Aug,2016,6.0,20.0,33,21,36
Sep,2016,6.0,23.0,29,21,31
Oct,2016,6.0,23.0,50,25,56
Nov,2016,7.0,23.0,69,22,69
Dec,2016,7.0,26.0,83,24,84
Jan,2017,7.0,25.0,84,25,84
Feb,2017,7.0,31.0,75,26,75
Mar,2017,8.0,26.0,86,24,86
Apr,2017,8.0,26.0,79,25,79
May,2017,7.0,27.0,82,24,82
Jun,2017,6.6,22.0,59,23,59
Jul,2017,7.0,27.0,51,22,55
Aug,2017,6.0,26.0,56,25,55
Sep,2017,7.0,22.0,62,21,62
Oct,2017,8.0,32.0,69,39,71
Nov,2017,7.0,22.0,91,26,91
Dec,2017,7.7,26.7,90,26,90
Jan,2018,7.9,38.5,117,25,111
Feb,2018,6.5,45.8,88,54,87
Mar,2018,7.4,36.3,89,62,89
Apr,2018,8.7,40.0,102,53,100
May,2018,8.8,41.9,100,60,100
Jun,2018,9.1,39.0,101,61,100
Jul,2018,8.7,33.6,89,59,89
Aug,2018,7.6,38.9,91,66,91
Sep,2018,9.1,40.2,101,53,100
Oct,2018,9.0,34.0,98,56,98
Nov,2018,9.5,44.2,110,54,106
Dec,2018,9.3,40.2,100,56,100
Jan,2019,10.7,54.4,107,62,104
Feb,2019,10.7,58.4,103,64,102
Mar,2019,10.4,57.8,105,70,103
Apr,2019,10.4,61.2,113,75,109
May,2019,10.2,58.9,105,71,103
Jun,2019,9.1,50.5,100,69,99
Jul,2019,9.1,47.8,100,63,100
Aug,2019,8.5,51.8,102,74,99
Sep,2019,8.0,51.2,97,64,97
Oct,2019,7.4,50.1,104,66,102
Nov,2019,7.1,52.4,107,69,105
Dec,2019,6.8,56.2,119,73,112
Jan,2020,6.1,52.5,116,67,111
Feb,2020,6.4,56.3,121,75,114
Mar,2020,6.5,49.3,115,65,110
Apr,2020,7.0,38.0,33,20,39
May,2020,7.8,45.2,72,33,72
Jun,2020,8.4,37.1,55,36,58
Jul,2020,9.0,48.1,124,34,114
Aug,2020,8.0,43.0,70,37,70
Sep,2020,7.7,43.3,99,38,96
Oct,2020,7.8,38.9,156,38,137
Nov,2020,7.0,64.8,120,75,114
Dec,2020,8.0,45.6,114,48,108
Jan,2021,7.1,56.6,114,72,110
Feb,2021,7.1,47.0,116,72,110
Mar,2021,8.2,41.7,65,46,69
Apr,2021,8.2,40.7,72,45,73
May,2021,8.3,42.4,68,42,68
Jun,2021,7.9,39.7,69,40,72
Jul,2021,6.6,32.4,57,26,57
Aug,2021,6.9,32.4,64,22,64
Sep,2021,6.7,34.7,66,28,66
Oct,2021,7.2,35.3,68,25,68
Nov,2021,6.8,34.2,73,26,73
Dec,2021,7.9,30.9,83,32,82
Jan,2022,7.8,30.3,82,32,82
Feb,2022,6.4,27.9,92,22,90
Mar,2022,6.8,26.7,99,23,96
Apr,2022,8.0,28.4,70,24,70
May,2022,6.3,26.8,78,20,76
Jun,2022,6.4,32.0,92,31,89
Jul,2022,7.0,29.3,69,33,69
Aug,2022,6.0,27.4,55,19,55
Sep,2022,6.7,29.9,58,20,58
Oct,2022,6.7,30.6,62,29,63
Nov,2022,6.2,26.1,103,22,101
Dec,2022,6.2,32.7,139,35,126
