Month,Year,SO2,Nox,PM10,NH3,AQI
Jan,2016,6,19,46,20,47
Feb,2016,7,19,51,22,51
Mar,2016,6.1,20.7,54,20,54
Apr,2016,8,19,51,21,51
May,2016,7,19,47,20,47
Jun,2016,5,21,47,20,47
Jul,2016,8,22,41,22,41
Aug,2016,5,14,37,20,37
Sep,2016,8,17,39,21,39
Oct,2016,7,23,48,21,48
Nov,2016,7,24,55,28,55
Dec,2016,8,27,60,22,60
Jan,2017,7,27,60,21,60
Feb,2017,8,26,64,23,64
Mar,2017,8,28,54,27,54
Apr,2017,8,27,54,23,55
May,2017,8,27,57,23,57
Jun,2017,7.4,24,42,23,42
Jul,2017,7,22,38,22,41
Aug,2017,6,23,64,21,53
Sep,2017,7,22,50,19,50
Oct,2017,7,19,63,29,63
Nov,2017,7,20,54,32,54
Dec,2017,7.7,26.3,60,26,60
Jan,2018,8.1,28,67,25,64
Feb,2018,8,38.6,66,62,68
Mar,2018,7.2,31.6,71,55,71
Apr,2018,8.6,36,77,49,77
May,2018,8.5,40.1,77,58,77
Jun,2018,8.8,37.9,83,57,83
Jul,2018,8.6,36.8,75,56,75
Aug,2018,8.7,36.4,79,51,79
Sep,2018,8.9,38.7,84,54,84
Oct,2018,9.1,37.9,85,53,85
Nov,2018,9.7,44.3,92,54,92
Dec,2018,9.6,41.8,88,63,88
Jan,2019,10.6,55.1,95,62,94
Feb,2019,9.2,57.8,90,65,90
Mar,2019,10.2,54.6,91,67,91
Apr,2019,9.9,54.8,90,73,90
May,2019,8.7,53.6,88,68,88
Jun,2019,8.6,46.9,81,64,81
Jul,2019,8.1,49.8,77,61,77
Aug,2019,8.4,48.5,84,60,84
Sep,2019,8,49.7,78,64,78
Oct,2019,7.1,50.8,86,61,86
Nov,2019,6.9,52,85,64,85
Dec,2019,6.6,48.9,84,68,84
Jan,2020,6,49.1,88,66,88
Feb,2020,6.4,49,84,67,84
Mar,2020,6.1,45,83,65,83
Apr,2020,6,20,80,20,80
May,2020,6.5,47.1,54,35,63
Jun,2020,8.3,37.2,43,45,48
Jul,2020,7.9,45.1,43,37,70
Aug,2020,8,26,33,33,37
Sep,2020,7.1,38.6,37,40,52
Oct,2020,7.4,39.9,49,40,62
Nov,2020,6.3,49.7,82,67,83
Dec,2020,7.4,38.6,98,41,95
Jan,2021,6.8,47,101,67,100
Feb,2021,6.8,38,84,68,84
Mar,2021,7.7,36.2,65,43,68
Apr,2021,7.9,27.6,54,46,54
May,2021,6.1,45,83,65,76
Jun,2021,8.4,34.1,90,38,88
Jul,2021,5.5,35.9,69,60,69
Aug,2021,6,35.9,67,60,67
Sep,2021,9.2,34,85,48,85
Oct,2021,7.4,31,61,48,61
Nov,2021,7.5,37.6,86,53,86
Dec,2021,7,41.8,78,55,78
Jan,2022,6.8,29.8,80,45,80
Feb,2022,7.6,30.7,78,48,78
Mar,2022,7.8,51.5,76,65,77
Apr,2022,7.3,44.6,78,65,79
May,2022,7.1,41,77,66,77
Jun,2022,7.4,45.4,81,67,81
Jul,2022,7.4,45.6,73,62,73
Aug,2022,7.4,41.5,56,44,58
Sep,2022,7,31.2,41,38,42
Oct,2022,7.4,30.9,57,39,57
Nov,2022,8,30,78,35,78
Dec,2022,7.1,29.1,112,33,115
