Month,Year,SO2,Nox,PM10,NH3,AQI
Jan,2016,4.0,15.0,67,21,62
Feb,2016,4.0,17.0,64,21,64
Mar,2016,5.0,18.0,66,21,66
Apr,2016,5.0,18.0,68,21,68
May,2016,6.0,22.0,71,21,69
Jun,2016,4.0,15.0,61,21,38
Jul,2016,4.0,17.0,57,21,57
Aug,2016,5.0,18.0,58,21,58
Sep,2016,5.0,18.0,56,21,56
Oct,2016,6.0,22.0,64,21,64
Nov,2016,5.0,21.0,60,21,60
Dec,2016,5.0,21.0,62,21,62
Jan,2017,5.0,20.0,61,21,61
Feb,2017,5.0,20.0,62,21,62
Mar,2017,5.0,21.0,63,21,63
Apr,2017,5.0,20.0,67,21,67
May,2017,5.0,20.0,68,21,68
Jun,2017,5.0,20.0,63,17,63
Jul,2017,5.0,21.0,57,17,57
Aug,2017,5.0,21.0,59,17,60
Sep,2017,5.0,21.0,60,17,59
Oct,2017,6.0,21.0,59,17,61
Nov,2017,6.0,21.0,59,17,61
Dec,2017,6.0,22.0,59,18,59
Jan,2018,6.0,22.4,61,17,61
Feb,2018,6.0,22.4,61,17,61
Mar,2018,5.9,22.2,66,17,66
Apr,2018,5.9,21.8,70,17,70
May,2018,5.9,22.6,47,18,54
Jun,2018,5.9,22.3,64,17,64
Jul,2018,5.7,22.5,59,17,59
Aug,2018,5.6,22.4,60,17,60
Sep,2018,5.8,23.1,64,17,64
Oct,2018,6.2,23.6,48,18,48
Nov,2018,5.6,25.0,56,21,60
Dec,2018,5.7,24.6,62,18,62
Jan,2019,5.5,24.3,64,17,64
Feb,2019,5.6,24.9,61,17,61
Mar,2019,5.6,24.4,61,17,61
Apr,2019,5.6,23.4,62,17,62
May,2019,5.5,25.0,64,18,64
Jun,2019,5.7,26.0,64,17,69
Jul,2019,5.4,25.6,64,17,72
Aug,2019,4.8,24.4,65,17,71
Sep,2019,4.4,23.5,61,17,61
Oct,2019,4.8,25.2,64,18,69
Nov,2019,4.6,24.7,62,21,62
Dec,2019,5.4,25.9,63,18,66
Jan,2020,5.5,27.3,60,10,64
Feb,2020,5.5,26.6,60,10,64
Mar,2020,5.5,26.6,60,10,66
Apr,2020,5.5,26.6,60,10,38
May,2020,4.9,24.1,52,10,50
Jun,2020,4.9,24.1,52,10,52
Jul,2020,5.2,25.8,63,10,63
Aug,2020,4.7,22.2,60,10,60
Sep,2020,5.4,24.8,60,10,62
Oct,2020,5.2,24.7,62,10,62
Nov,2020,6.1,25.9,62,10,63
Dec,2020,6.0,26.4,71,10,81
Jan,2021,5.8,24.7,68,15,69
Feb,2021,5.1,23.4,67,20,68
Mar,2021,5.7,24.8,66,20,66
Apr,2021,5.3,25.1,67,19,69
May,2021,6.0,26.0,60,17,41
Jun,2021,5.7,24.8,54,16,58
Jul,2021,5.7,24.8,54,16,54
Aug,2021,5.3,22.4,45,15,45
Sep,2021,5.0,23.1,43,16,43
Oct,2021,6.2,27.3,59,17,59
Nov,2021,6.4,26.7,66,17,66
Dec,2021,5.8,25.5,57,14,57
Jan,2022,6.9,25.5,56,14,56
Feb,2022,7.5,27.5,59,15,59
Mar,2022,6.6,26.1,64,17,64
Apr,2022,7.8,24.0,58,16,58
May,2022,7.3,24.6,56,14,56
Jun,2022,6.0,23.4,52,15,54
Jul,2022,5.5,21.3,46,13,46
Aug,2022,6.7,23.3,52,14,53
Sep,2022,7.9,25.0,51,16,54
Oct,2022,8.6,27.4,61,18,63
Nov,2022,6.8,25.0,56,16,56
Dec,2022,7.5,22.6,60,17,59
