Month,Year,SO2,Nox,PM10,NH3,AQI
Jan,2016,7,26,76,22,76
Feb,2016,7,19,72,21,72
Mar,2016,7,22,63,24,63
Apr,2016,7,20,73,21,73
May,2016,8,19,84,21,84
Jun,2016,7,22,68,28,68
Jul,2016,7,20,56,24,63
Aug,2016,7,28,36,22,38
Sep,2016,7,20,52,20,52
Oct,2016,7,22,61,22,61
Nov,2016,6,22,83,21,83
Dec,2016,8,30,84,23,84
Jan,2017,8,25,76,22,76
Feb,2017,8,27,79,25,78
Mar,2017,8,27,71,22,71
Apr,2017,8,28,72,28,72
May,2017,8,27,68,27,68
Jun,2017,7,24,61,21,61
Jul,2017,6,26,41,23,48
Aug,2017,6,22,58,21,60
Sep,2017,6,20,54,21,62
Oct,2017,9,24,62,37,62
Nov,2017,7,27,76,23,76
Dec,2017,7,27,78,23,78
Jan,2018,7,29,97,26,94
Feb,2018,7,39,98,59,96
Mar,2018,7,32,80,58,79
Apr,2018,8,36,82,45,83
May,2018,9,41,81,53,81
Jun,2018,9,38,84,61,84
Jul,2018,9,39,70,57,70
Aug,2018,9,36,73,58,73
Sep,2018,9,38,80,52,80
Oct,2018,9,39,89,57,89
Nov,2018,10,47,96,52,94
Dec,2018,10,42,88,58,88
Jan,2019,10,55,91,68,91
Feb,2019,10,56,91,69,91
Mar,2019,10,55,92,68,92
Apr,2019,10,54,89,70,89
May,2019,10,55,93,70,93
Jun,2019,9,48,86,69,86
Jul,2019,9,46,87,57,87
Aug,2019,8,47,80,67,80
Sep,2019,8,47,73,61,73
Oct,2019,7,48,85,60,85
Nov,2019,7,51,91,63,91
Dec,2019,7,51,87,66,87
Jan,2020,6,49,89,64,89
Feb,2020,6,51,88,70,88
Mar,2020,6,38,74,54,74
Apr,2020,6,38,26,20,41
May,2020,7,39,58,30,65
Jun,2020,7,32,56,34,58
Jul,2020,9,45,48,31,67
Aug,2020,7,45,49,33,61
Sep,2020,7,41,39,31,55
Oct,2020,7,38,54,33,61
Nov,2020,7,54,93,63,92
Dec,2020,7,35,93,36,91
Jan,2021,6,42,81,71,81
Feb,2021,7,47,88,69,88
Mar,2021,8,36,75,41,75
Apr,2021,9,34,71,49,71
May,2021,9,32,45,45,51
Jun,2021,8,31,83,43,81
Jul,2021,6,29,57,46,57
Aug,2021,7,33,60,42,60
Sep,2021,7,31,55,44,55
Oct,2021,8,33,64,45,64
Nov,2021,8,34,65,37,65
Dec,2021,7,31,69,37,69
Jan,2022,7,32,73,36,73
Feb,2022,8,31,73,49,73
Mar,2022,8,33,76,39,76
Apr,2022,8,34,60,40,60
May,2022,8,34,77,40,77
Jun,2022,8,35,85,39,85
Jul,2022,7,30,47,36,47
Aug,2022,7,27,56,23,56
Sep,2022,7,30,48,27,48
Oct,2022,8,32,63,39,64
Nov,2022,8,35,95,37,94
Dec,2022,8,33,95,35,94
