Date,district,cumm_rainfall,temp_min,temp_max,humidity_min,humidity_max,wind_speed_min,wind_speed_max
2018-01-01,Adilabad,0.0,16.8,33.5,41.8,88.1,2.0,19.7
2018-01-02,Adilabad,0.0,16.9,33.2,38.8,85.0,3.0,17.6
2018-01-03,Adilabad,0.0,14.7,32.7,41.6,85.1,1.2,18.8
2018-01-04,Adilabad,0.0,14.9,32.2,42.1,86.8,0.8,16.4
2018-01-05,Adilabad,0.0,14.3,32.4,40.9,86.5,0.0,19.2
2018-01-06,Adilabad,0.0,16.0,34.9,38.2,83.4,3.4,20.9
2018-01-07,Adilabad,0.0,16.3,34.9,39.2,84.6,2.3,19.6
2018-01-08,Adilabad,0.0,16.2,32.1,45.2,87.3,0.0,17.1
2018-01-09,Adilabad,0.0,14.7,32.4,44.6,84.3,0.3,19.8
2018-01-10,Adilabad,0.0,15.1,32.1,39.0,82.0,0.9,23.5
2018-01-11,Adilabad,0.0,17.2,33.4,39.3,80.4,0.5,19.8
2018-01-12,Adilabad,0.0,17.7,34.0,39.3,83.0,2.3,16.7
2018-01-13,Adilabad,0.0,18.6,35.0,39.2,81.3,0.0,18.7
2018-01-14,Adilabad,0.0,19.5,34.9,34.4,77.9,4.6,17.3
2018-01-15,Adilabad,0.0,21.0,35.0,39.4,79.3,0.2,18.4
2018-01-16,Adilabad,0.0,18.0,35.8,43.1,84.0,0.0,18.0
2018-01-17,Adilabad,0.0,16.0,34.9,39.9,81.0,0.1,21.4
2018-01-18,Adilabad,0.0,18.2,34.9,38.2,79.3,1.3,20.8
2018-01-19,Adilabad,0.0,16.0,34.6,36.9,78.6,2.2,24.6
2018-01-20,Adilabad,0.0,16.0,34.6,34.6,79.2,0.7,19.8
2018-01-21,Adilabad,0.0,17.5,34.3,36.2,79.5,0.6,17.2
2018-01-22,Adilabad,0.0,16.8,32.9,37.1,81.1,0.0,18.0
2018-01-23,Adilabad,0.0,18.2,34.9,38.3,86.2,0.0,16.8
2018-01-24,Adilabad,0.0,17.7,34.9,42.6,82.1,0.5,22.3
2018-01-25,Adilabad,0.0,15.1,32.6,40.9,99.9,1.2,24.7
2018-01-26,Adilabad,0.0,14.2,32.7,34.7,78.6,0.0,17.2
2018-01-27,Adilabad,0.0,15.2,33.3,33.2,99.9,0.9,19.6
2018-01-28,Adilabad,0.0,16.1,33.8,31.8,77.2,0.9,19.2
2018-01-29,Adilabad,0.0,17.3,35.0,33.9,78.1,0.0,21.5
2018-01-30,Adilabad,0.0,17.1,35.2,35.0,78.1,0.9,21.2
2018-01-31,Adilabad,0.0,17.9,34.7,33.7,77.1,0.3,24.4
2018-02-01,Adilabad,0.0,18.2,35.9,29.8,74.6,0.0,19.1
2018-02-02,Adilabad,0.0,18.2,35.6,29.4,74.0,0.9,20.5
2018-02-03,Adilabad,0.0,16.9,35.9,29.1,75.1,0.0,16.8
2018-02-04,Adilabad,0.0,19.2,36.0,32.2,74.8,5.5,19.1
2018-02-05,Adilabad,0.0,19.2,35.8,37.2,79.3,2.8,22.4
2018-02-06,Adilabad,0.0,19.5,35.2,37.8,82.1,0.9,25.7
2018-02-07,Adilabad,0.0,20.1,35.9,40.9,75.2,0.0,16.2
2018-02-08,Adilabad,0.0,18.6,34.6,48.3,82.9,1.0,26.3
2018-02-09,Adilabad,0.0,21.4,35.8,37.2,71.3,3.8,18.3
2018-02-10,Adilabad,0.0,20.2,35.6,38.2,71.6,2.3,34.4
2018-02-11,Adilabad,0.0,21.3,32.8,45.1,76.4,0.0,17.4
2018-02-12,Adilabad,9.4,20.2,35.1,41.5,100.0,3.5,48.3
2018-02-13,Adilabad,36.3,19.1,34.6,56.7,100.0,3.1,29.4
2018-02-14,Adilabad,8.2,19.6,33.3,54.6,100.0,4.2,29.7
2018-02-15,Adilabad,0.0,17.7,33.3,59.3,100.0,6.1,24.0
2018-02-16,Adilabad,0.0,18.1,34.6,43.9,98.1,1.1,26.0
2018-02-17,Adilabad,0.0,18.9,32.9,38.9,96.0,0.9,23.1
2018-02-18,Adilabad,0.0,19.3,35.3,38.4,84.4,0.0,23.9
2018-02-19,Adilabad,0.0,20.1,36.5,36.0,78.9,0.9,22.5
2018-02-20,Adilabad,0.0,21.5,36.4,40.7,99.9,3.3,32.7
2018-02-21,Adilabad,0.0,22.2,36.9,41.2,99.9,2.3,20.6
2018-02-22,Adilabad,0.0,24.4,35.7,57.0,66.9,0.6,19.3
2018-02-23,Adilabad,0.0,21.9,37.2,40.1,79.0,1.5,21.1
2018-02-24,Adilabad,0.0,22.7,37.2,39.5,76.0,1.0,27.8
2018-02-25,Adilabad,0.0,22.9,37.9,36.8,74.2,0.5,38.8
2018-02-26,Adilabad,0.0,22.9,37.4,31.9,73.6,2.9,23.1
