Date,district,cumm_rainfall,temp_min,temp_max,humidity_min,humidity_max,wind_speed_min,wind_speed_max
2018-01-01,Karimnagar,0.0,16.6,35.4,40.5,100.0,0.0,15.5
2018-01-02,Karimnagar,0.0,17.9,35.2,42.9,100.0,0.0,14.0
2018-01-03,Karimnagar,0.0,17.9,35.0,52.9,100.0,0.0,9.5
2018-01-04,Karimnagar,0.0,16.3,33.9,38.9,100.0,0.0,17.5
2018-01-05,Karimnagar,0.0,14.8,32.9,36.6,100.0,0.0,19.4
2018-01-06,Karimnagar,0.0,13.8,35.2,38.9,100.0,0.0,15.9
2018-01-07,Karimnagar,0.0,15.0,35.3,38.8,100.0,0.4,15.0
2018-01-08,Karimnagar,0.0,16.5,34.26,44.9,100.0,0.0,18.3
2018-01-09,Karimnagar,0.0,18.0,32.8,43.9,100.0,0.0,25.4
2018-01-10,Karimnagar,0.0,17.4,33.9,53.9,100.0,0.0,12.0
2018-01-11,Karimnagar,0.0,17.2,35.3,36.6,100.0,0.0,17.2
2018-01-12,Karimnagar,0.0,17.1,35.7,37.7,100.0,0.0,16.9
2018-01-13,Karimnagar,0.0,17.9,35.0,37.2,100.0,0.0,13.7
2018-01-14,Karimnagar,0.0,17.6,35.1,30.3,100.0,0.0,11.8
2018-01-15,Karimnagar,0.0,21.1,34.6,54.1,100.0,0.0,20.0
2018-01-16,Karimnagar,0.0,18.6,35.6,58.6,100.0,0.0,11.8
2018-01-17,Karimnagar,0.0,16.7,36.1,41.5,100.0,0.0,17.7
2018-01-18,Karimnagar,0.0,16.9,35.9,41.1,100.0,0.0,14.8
2018-01-19,Karimnagar,0.0,17.2,36.0,45.0,100.0,1.2,14.3
2018-01-20,Karimnagar,0.0,14.4,35.3,29.3,100.0,0.1,16.8
2018-01-21,Karimnagar,0.0,15.5,35.9,29.0,100.0,0.0,18.4
2018-01-22,Karimnagar,0.0,16.9,35.0,38.5,100.0,0.2,21.1
2018-01-23,Karimnagar,0.0,17.4,34.4,48.9,100.0,1.0,14.5
2018-01-24,Karimnagar,0.0,18.9,34.9,55.6,100.0,0.7,18.1
