Date,district,cumm_rainfall,temp_min,temp_max,humidity_min,humidity_max,wind_speed_min,wind_speed_max
2018-01-01,Khammam,0.0,22.1,35.4,45.1,99.9,0.0,10.7
2018-01-02,Khammam,0.0,21.8,36.3,54.8,100.0,0.0,9.7
2018-01-03,Khammam,0.0,21.8,34.9,47.9,100.0,0.0,10.3
2018-01-04,Khammam,0.0,19.3,34.9,46.5,100.0,0.0,11.6
2018-01-05,Khammam,0.0,19.3,34.6,46.5,99.9,0.0,14.3
2018-01-06,Khammam,0.0,18.7,34.9,34.6,99.9,0.0,16.1
2018-01-07,Khammam,0.0,19.4,34.9,44.0,100.0,0.0,14.3
2018-01-08,Khammam,0.0,19.0,32.84,54.6,100.0,0.0,15.2
2018-01-09,Khammam,0.0,19.7,32.4,54.6,100.0,0.1,14.6
2018-01-10,Khammam,0.0,20.1,34.9,46.5,100.0,0.0,28.8
2018-01-11,Khammam,0.0,21.0,35.5,53.8,100.0,0.0,19.1
2018-01-12,Khammam,0.0,22.0,36.0,50.2,100.0,0.0,20.1
2018-01-13,Khammam,0.0,21.8,35.1,63.1,100.0,0.0,11.0
2018-01-14,Khammam,0.0,21.9,35.0,53.8,100.0,0.0,11.1
2018-01-15,Khammam,0.0,22.9,34.9,70.5,100.0,0.0,8.9
2018-01-16,Khammam,0.0,22.4,35.7,61.9,100.0,0.0,29.2
2018-01-17,Khammam,0.0,20.4,34.9,49.5,100.0,0.0,13.9
2018-01-18,Khammam,0.0,21.8,34.9,51.9,100.0,0.0,13.3
2018-01-19,Khammam,0.0,19.5,34.9,54.6,100.0,0.0,15.1
2018-01-20,Khammam,0.0,21.8,34.9,56.5,100.0,0.0,18.7
2018-01-21,Khammam,0.0,18.0,34.9,58.0,100.0,0.0,9.1
2018-01-22,Khammam,0.0,19.5,34.9,49.6,100.0,0.0,20.1
2018-01-23,Khammam,0.0,19.8,33.5,53.1,100.0,0.0,16.0
2018-01-24,Khammam,0.0,21.8,34.9,55.5,100.0,0.0,22.3
2018-01-25,Khammam,0.0,21.8,34.8,55.0,100.0,0.0,22.6
2018-01-26,Khammam,0.0,19.0,35.5,56.8,100.0,0.0,10.2
2018-01-27,Khammam,0.0,21.8,34.7,43.2,100.0,0.0,15.5
2018-01-28,Khammam,0.0,20.7,34.6,50.3,100.0,0.0,9.7
2018-01-29,Khammam,0.0,20.7,35.1,48.1,100.0,0.0,9.9
2018-01-30,Khammam,0.0,21.8,34.7,49.7,100.0,0.0,9.2
2018-01-31,Khammam,0.0,19.5,34.9,47.6,100.0,0.0,15.0
2018-02-01,Khammam,0.0,19.3,36.0,26.6,100.0,0.0,15.9
2018-02-02,Khammam,0.0,17.3,36.3,23.7,100.0,0.0,15.1
2018-02-03,Khammam,0.0,19.3,35.9,53.8,100.0,0.9,13.3
2018-02-04,Khammam,0.0,18.7,35.7,78.0,100.0,0.0,23.6
2018-02-05,Khammam,0.0,19.3,35.0,40.6,100.0,0.0,25.8
2018-02-06,Khammam,0.0,19.5,34.6,49.9,100.0,0.0,32.3
2018-02-07,Khammam,0.0,19.7,35.9,48.7,100.0,0.0,24.6
2018-02-08,Khammam,0.5,21.4,34.8,62.6,99.9,0.1,11.4
2018-02-09,Khammam,0.0,25.4,35.9,45.1,100.0,0.1,20.3
2018-02-10,Khammam,0.0,24.0,36.4,53.8,100.0,0.0,27.5
2018-02-11,Khammam,0.3,23.7,36.1,54.8,100.0,0.0,25.8
2018-02-12,Khammam,0.0,22.6,32.3,81.3,100.0,1.8,28.1
2018-02-13,Khammam,0.0,24.4,35.3,58.2,100.0,0.6,37.5
2018-02-14,Khammam,0.3,21.6,35.7,53.4,100.0,0.0,29.0
2018-02-15,Khammam,0.0,18.5,36.0,48.5,99.9,1.4,25.6
2018-02-16,Khammam,0.0,22.0,36.0,51.6,100.0,0.0,19.2
