Date,district,cumm_rainfall,temp_min,temp_max,humidity_min,humidity_max,wind_speed_min,wind_speed_max
2018-01-01,Nizamabad,0.0,16.1,35.0,36.4,100.0,0.0,15.9
2018-01-02,Nizamabad,0.0,17.0,36.2,36.2,100.0,0.0,13.1
2018-01-03,Nizamabad,0.0,16.5,34.6,36.6,100.0,0.0,14.9
2018-01-04,Nizamabad,0.0,16.0,34.7,36.8,99.9,0.0,13.7
2018-01-05,Nizamabad,0.0,17.3,33.2,40.8,99.9,0.0,15.7
2018-01-06,Nizamabad,0.0,16.7,35.5,38.5,100.0,0.0,15.6
2018-01-07,Nizamabad,0.0,19.3,34.3,33.5,100.0,0.0,15.0
2018-01-08,Nizamabad,0.0,16.7,34.1,45.2,100.0,0.0,13.6
2018-01-09,Nizamabad,0.0,17.5,33.2,46.1,100.0,0.3,18.6
2018-01-10,Nizamabad,0.0,17.4,32.7,36.3,99.9,0.0,19.6
2018-01-11,Nizamabad,0.0,17.0,32.8,35.6,100.0,0.0,17.5
2018-01-12,Nizamabad,0.0,19.3,35.9,39.5,100.0,0.0,14.7
2018-01-13,Nizamabad,0.0,19.6,34.9,43.5,100.0,0.0,9.6
2018-01-14,Nizamabad,0.0,19.3,35.0,34.4,100.0,0.0,17.0
2018-01-15,Nizamabad,0.0,22.1,34.9,40.3,100.0,0.0,16.5
2018-01-16,Nizamabad,0.0,19.5,35.7,48.1,100.0,0.0,12.6
2018-01-17,Nizamabad,0.0,18.9,35.8,39.1,100.0,0.0,13.7
2018-01-18,Nizamabad,0.0,19.3,35.9,41.5,100.0,0.0,11.4
2018-01-19,Nizamabad,0.0,16.7,34.9,33.6,100.0,0.0,17.0
2018-01-20,Nizamabad,0.0,16.7,36.0,30.5,100.0,0.0,15.9
2018-01-21,Nizamabad,0.0,16.7,34.9,30.5,100.0,0.0,16.5
2018-01-22,Nizamabad,0.0,16.7,34.6,30.5,100.0,0.0,16.7
2018-01-23,Nizamabad,0.0,18.9,34.6,39.3,100.0,0.0,14.6
2018-01-24,Nizamabad,0.0,19.5,34.6,44.6,100.0,0.0,14.1
2018-01-25,Nizamabad,0.0,17.3,34.4,41.3,100.0,0.0,18.0
