Date,district,cumm_rainfall,temp_min,temp_max,humidity_min,humidity_max,wind_speed_min,wind_speed_max
2018-01-01,Warangal (R),0.0,16.6,34.9,44.9,100.0,0.0,16.6
2018-01-02,Warangal (R),0.0,19.3,34.9,41.7,100.0,0.0,17.2
2018-01-03,Warangal (R),0.0,19.3,34.6,53.6,100.0,0.4,16.4
2018-01-04,Warangal (R),0.0,16.7,33.0,43.3,100.0,2.4,20.9
2018-01-05,Warangal (R),0.0,17.5,32.5,44.4,100.0,0.0,17.4
2018-01-06,Warangal (R),0.0,13.5,34.9,39.9,100.0,0.0,19.4
2018-01-07,Warangal (R),0.0,14.7,34.6,44.9,100.0,0.0,19.9
2018-01-08,Warangal (R),0.0,16.7,32.4,51.8,100.0,4.0,17.2
2018-01-09,Warangal (R),0.0,19.3,32.5,47.4,100.0,0.2,22.4
2018-01-10,Warangal (R),0.0,18.1,32.8,52.2,100.0,1.4,15.2
2018-01-11,Warangal (R),0.0,17.4,34.6,41.9,100.0,2.5,16.4
2018-01-12,Warangal (R),0.0,16.2,35.6,41.6,100.0,0.9,15.7
2018-01-13,Warangal (R),0.0,20.1,34.9,60.5,100.0,2.6,16.0
2018-01-14,Warangal (R),0.0,21.8,34.9,38.8,100.0,2.6,21.8
2018-01-15,Warangal (R),0.0,21.4,34.6,59.7,100.0,4.4,19.1
2018-01-16,Warangal (R),0.0,18.3,34.9,49.6,100.0,0.3,16.2
2018-01-17,Warangal (R),0.0,17.9,35.2,52.7,100.0,1.9,18.0
2018-01-18,Warangal (R),0.0,17.5,34.7,72.2,100.0,3.5,20.5
2018-01-19,Warangal (R),0.0,16.3,34.6,42.2,100.0,0.2,19.2
2018-01-20,Warangal (R),0.0,14.6,34.6,45.7,100.0,2.2,10.0
2018-01-21,Warangal (R),0.0,19.3,34.6,53.9,100.0,0.0,13.7
2018-01-22,Warangal (R),0.0,18.0,34.6,43.8,100.0,1.8,15.3
2018-01-23,Warangal (R),0.0,17.1,34.6,53.7,100.0,4.3,21.0
2018-01-24,Warangal (R),0.0,21.9,34.6,45.2,100.0,2.1,27.8
2018-01-25,Warangal (R),0.0,19.1,33.3,55.2,100.0,6.4,16.0
2018-01-26,Warangal (R),0.0,19.3,34.6,41.8,100.0,1.6,22.0
2018-01-27,Warangal (R),0.0,15.5,35.1,30.4,100.0,0.0,14.1
2018-01-28,Warangal (R),0.0,19.0,34.6,43.2,100.0,1.5,15.1
2018-01-29,Warangal (R),0.0,18.0,35.0,44.1,100.0,0.0,15.0
2018-01-30,Warangal (R),0.0,17.7,34.6,43.1,100.0,1.8,16.2
2018-01-31,Warangal (R),0.0,17.2,34.6,37.1,100.0,5.3,22.4
2018-02-01,Warangal (R),0.0,17.8,35.8,27.5,100.0,0.0,22.5
2018-02-02,Warangal (R),0.0,14.8,35.7,25.1,100.0,2.0,22.9
2018-02-03,Warangal (R),0.0,16.5,35.8,23.8,100.0,1.5,16.3
2018-02-04,Warangal (R),0.0,16.5,34.6,39.7,100.0,1.6,26.5
2018-02-05,Warangal (R),0.0,16.9,34.6,34.8,100.0,2.6,19.7
2018-02-06,Warangal (R),0.0,17.7,35.6,39.9,100.0,0.3,16.6
2018-02-07,Warangal (R),0.0,19.2,35.7,41.0,97.2,0.0,17.1
2018-02-08,Warangal (R),0.3,20.1,32.1,45.5,97.2,0.0,19.0
2018-02-09,Warangal (R),0.0,21.5,36.0,36.0,100.0,0.0,16.9
2018-02-10,Warangal (R),1.5,21.9,35.2,49.0,100.0,0.0,20.3
2018-02-11,Warangal (R),0.0,22.6,34.6,58.4,100.0,0.0,22.1
2018-02-12,Warangal (R),0.3,21.1,32.6,58.3,100.0,2.6,27.1
2018-02-13,Warangal (R),0.3,20.8,34.6,50.7,100.0,5.9,23.3
2018-02-14,Warangal (R),0.0,21.8,34.6,50.7,100.0,0.0,18.1
2018-02-15,Warangal (R),0.0,20.4,35.7,39.4,100.0,0.9,18.1
2018-02-16,Warangal (R),0.0,21.8,36.0,44.7,100.0,0.8,20.1
2018-02-17,Warangal (R),0.0,19.3,35.4,36.4,100.0,0.0,24.3
2018-02-18,Warangal (R),0.0,19.3,37.0,28.8,100.0,0.0,18.8
2018-02-19,Warangal (R),0.0,21.1,36.4,43.8,100.0,0.0,19.6
2018-02-20,Warangal (R),0.0,24.1,35.9,42.3,100.0,0.8,24.8
2018-02-21,Warangal (R),0.0,21.8,37.2,43.8,100.0,3.8,24.1
2018-02-22,Warangal (R),0.0,26.3,37.3,40.5,71.9,0.0,19.4
2018-02-23,Warangal (R),0.0,20.2,37.2,37.0,100.0,0.0,16.5
2018-02-24,Warangal (R),0.0,24.4,37.3,37.3,100.0,0.0,26.2
2018-02-25,Warangal (R),0.0,18.7,37.2,32.2,100.0,0.3,23.1
2018-02-26,Warangal (R),0.0,21.8,37.8,27.3,100.0,0.0,16.4
2018-02-27,Warangal (R),0.0,20.5,38.8,28.2,96.6,0.0,15.9
2018-02-28,Warangal (R),0.0,21.4,39.0,28.3,92.1,0.0,20.0
2018-03-01,Warangal (R),0.0,23.6,38.8,25.5,100.0,0.0,20.6
2018-03-02,Warangal (R),0.0,24.4,38.5,28.0,85.5,0.0,16.9
2018-03-03,Warangal (R),0.0,21.8,38.9,24.4,83.2,0.0,20.5
2018-03-04,Warangal (R),0.0,24.0,38.6,28.3,73.9,1.8,17.6
2018-03-05,Warangal (R),0.0,22.6,38.1,25.7,85.7,1.9,28.0
2018-03-06,Warangal (R),0.0,21.8,38.0,31.1,76.7,1.5,25.7
2018-03-07,Warangal (R),0.0,22.3,37.9,26.2,100.0,0.1,20.2
2018-03-08,Warangal (R),0.0,23.6,37.8,30.5,90.9,0.0,21.3
