Date,district,cumm_rainfall,temp_min,temp_max,humidity_min,humidity_max,wind_speed_min,wind_speed_max
2018-01-01,Warangal (U),0.0,17.8,34.6,41.9,99.9,0.0,8.7
2018-01-02,Warangal (U),0.0,18.7,34.6,49.4,99.9,0.0,12.5
2018-01-03,Warangal (U),0.0,17.7,34.6,46.7,100.0,0.3,9.4
2018-01-04,Warangal (U),0.0,17.0,32.2,41.4,100.0,0.2,14.2
2018-01-05,Warangal (U),0.0,17.0,32.4,45.2,99.9,0.0,10.7
2018-01-06,Warangal (U),0.0,16.5,34.6,41.6,99.9,0.0,10.7
2018-01-07,Warangal (U),0.0,16.7,33.3,43.5,99.9,0.0,12.6
2018-01-08,Warangal (U),0.0,17.9,34.62,46.7,100.0,0.0,14.6
2018-01-09,Warangal (U),0.0,17.2,32.1,47.0,99.9,0.0,14.6
2018-01-10,Warangal (U),0.0,17.7,32.1,49.1,99.9,0.0,10.3
2018-01-11,Warangal (U),0.0,19.3,32.3,39.1,100.0,0.0,9.6
2018-01-12,Warangal (U),0.0,19.3,34.6,35.7,99.9,0.0,9.8
2018-01-13,Warangal (U),0.0,18.4,34.9,33.3,99.9,0.0,8.3
2018-01-14,Warangal (U),0.0,20.0,35.0,28.6,100.0,0.0,10.1
2018-01-15,Warangal (U),0.0,21.2,34.6,57.6,100.0,0.0,14.2
2018-01-16,Warangal (U),0.0,19.4,35.0,47.0,100.0,0.0,10.1
2018-01-17,Warangal (U),0.0,19.0,34.9,46.7,99.9,0.0,12.1
2018-01-18,Warangal (U),0.0,19.7,34.9,46.1,99.9,0.0,13.1
2018-01-19,Warangal (U),0.0,16.7,34.6,46.5,99.9,0.0,10.7
2018-01-20,Warangal (U),0.0,14.3,33.2,27.2,99.9,0.0,9.3
2018-01-21,Warangal (U),0.0,18.5,34.6,33.7,99.9,0.0,12.3
2018-01-22,Warangal (U),0.0,19.1,34.6,46.5,99.9,0.3,12.4
2018-01-23,Warangal (U),0.0,17.7,34.6,47.7,99.9,0.0,14.3
2018-01-24,Warangal (U),0.0,19.2,34.6,46.5,99.9,0.0,14.9
2018-01-25,Warangal (U),0.0,19.4,34.6,56.4,99.9,0.0,10.8
2018-01-26,Warangal (U),0.0,17.7,32.4,43.9,99.9,0.0,9.8
2018-01-27,Warangal (U),0.0,16.6,32.9,30.2,99.9,0.0,10.4
2018-01-28,Warangal (U),0.0,19.3,33.3,37.6,100.0,0.0,12.6
2018-01-29,Warangal (U),0.0,17.3,33.7,46.8,100.0,0.0,14.9
2018-01-30,Warangal (U),0.0,15.3,33.9,45.8,99.9,0.0,14.3
2018-01-31,Warangal (U),0.0,14.4,33.3,39.8,99.9,0.0,14.2
2018-02-01,Warangal (U),0.0,16.4,34.6,30.2,99.9,0.9,11.7
2018-02-02,Warangal (U),0.0,15.8,34.7,19.8,99.9,0.8,13.3
2018-02-03,Warangal (U),0.0,17.3,35.8,18.4,96.2,0.0,13.2
2018-02-04,Warangal (U),0.0,16.7,34.6,35.2,84.0,3.4,15.8
2018-02-05,Warangal (U),0.0,18.2,34.6,31.3,99.9,3.0,14.7
2018-02-06,Warangal (U),0.0,18.1,34.6,42.6,99.9,2.1,11.2
2018-02-07,Warangal (U),0.0,22.0,34.9,43.1,99.9,0.1,13.8
2018-02-08,Warangal (U),0.3,21.8,32.2,42.2,99.9,1.5,14.0
2018-02-09,Warangal (U),0.0,22.0,35.8,35.8,99.9,0.0,10.5
2018-02-10,Warangal (U),0.0,22.4,34.9,53.3,99.9,0.0,13.1
2018-02-11,Warangal (U),0.3,23.0,33.4,59.7,99.9,0.0,14.1
2018-02-12,Warangal (U),0.0,22.3,32.3,57.1,99.9,4.0,20.3
2018-02-13,Warangal (U),0.3,22.7,32.6,48.2,99.9,0.9,21.0
2018-02-14,Warangal (U),0.0,19.3,32.6,48.5,99.9,0.0,17.4
2018-02-15,Warangal (U),0.0,18.0,34.6,41.1,99.9,0.0,12.0
2018-02-16,Warangal (U),0.0,16.4,33.2,47.4,99.9,0.0,12.0
2018-02-17,Warangal (U),0.0,21.8,34.6,26.7,90.6,0.0,13.1
2018-02-18,Warangal (U),0.0,19.7,35.4,30.7,100.0,0.0,10.8
2018-02-19,Warangal (U),0.0,21.8,35.4,46.5,100.0,0.0,12.1
2018-02-20,Warangal (U),0.0,20.5,34.6,42.6,100.0,1.0,16.1
2018-02-21,Warangal (U),0.0,21.8,35.6,39.5,100.0,0.0,15.3
2018-02-22,Warangal (U),0.0,24.4,36.5,46.8,80.9,0.0,12.2
2018-02-23,Warangal (U),0.0,20.3,37.2,39.7,99.9,0.0,12.1
2018-02-24,Warangal (U),0.0,19.9,37.2,40.0,96.5,2.8,17.5
2018-02-25,Warangal (U),0.0,19.3,35.2,29.9,88.8,1.0,21.7
2018-02-26,Warangal (U),0.0,17.5,37.8,25.1,92.5,0.0,12.6
2018-02-27,Warangal (U),0.0,20.4,37.8,30.9,84.6,0.0,11.7
2018-02-28,Warangal (U),0.0,21.8,38.1,31.0,83.1,0.0,11.0
2018-03-01,Warangal (U),0.0,21.8,38.8,21.2,85.6,0.0,10.8
2018-03-02,Warangal (U),0.0,22.0,38.0,30.7,77.5,0.0,14.0
2018-03-03,Warangal (U),0.0,21.7,38.3,25.0,69.7,0.0,13.1
2018-03-04,Warangal (U),0.0,21.8,40.3,28.4,66.9,1.5,12.4
2018-03-05,Warangal (U),0.0,21.1,40.3,23.2,77.9,3.1,14.8
2018-03-06,Warangal (U),0.0,20.1,37.9,28.1,72.7,1.1,15.5
2018-03-07,Warangal (U),0.0,21.8,38.4,26.6,88.1,1.5,14.3
2018-03-08,Warangal (U),0.0,21.8,37.8,28.3,77.6,0.0,13.8
2018-03-09,Warangal (U),0.0,20.6,37.9,30.7,80.8,0.0,14.4
2018-03-10,Warangal (U),0.0,24.3,37.8,39.4,99.9,0.0,12.7
2018-03-11,Warangal (U),0.0,24.4,38.0,38.8,96.9,0.0,12.1
2018-03-12,Warangal (U),0.0,24.2,37.9,31.0,93.5,0.0,18.1
2018-03-13,Warangal (U),0.0,23.1,37.8,37.0,99.9,3.3,15.7
2018-03-14,Warangal (U),0.0,24.4,38.3,32.3,92.1,0.0,14.4
2018-03-15,Warangal (U),0.0,27.7,38.5,32.8,99.9,3.2,14.9
2018-03-16,Warangal (U),0.0,24.7,37.8,38.0,99.9,0.0,16.0
2018-03-17,Warangal (U),6.8,21.4,32.5,55.0,100.0,1.7,15.6
2018-03-18,Warangal (U),0.0,23.6,35.2,54.7,100.0,0.0,15.0
2018-03-19,Warangal (U),0.0,24.4,37.8,45.4,92.1,0.0,15.2
2018-03-20,Warangal (U),0.0,23.7,38.0,39.4,78.3,0.0,14.6
2018-03-21,Warangal (U),0.0,27.0,38.3,31.5,75.8,1.5,13.3
2018-03-22,Warangal (U),0.0,27.1,38.7,31.3,83.2,0.1,16.4
2018-03-23,Warangal (U),0.0,23.9,38.0,30.9,73.3,0.0,16.5
2018-03-24,Warangal (U),0.0,22.1,39.0,26.5,82.5,0.0,16.2
2018-03-25,Warangal (U),0.0,25.0,40.2,26.1,100.0,0.0,15.8
2018-03-26,Warangal (U),0.0,26.8,39.0,48.1,100.0,0.0,12.3
2018-03-27,Warangal (U),0.0,23.3,38.0,34.9,99.9,0.0,13.6
2018-03-28,Warangal (U),0.0,23.6,40.7,29.2,99.9,0.3,10.9
2018-03-29,Warangal (U),0.0,25.0,40.3,35.3,100.0,3.7,15.3
