Date,district,cumm_rainfall,temp_min,temp_max,humidity_min,humidity_max,wind_speed_min,wind_speed_max
2019-09-11,Warangal Urban,8.6,27.2,36.4,86.9,100.0,2.3,13.4
2019-09-12,Warangal Urban,11.8,25.9,35.8,84.7,100.0,1.8,17.9
2019-09-13,Warangal Urban,0.5,27.0,33.1,97.6,100.0,0.0,13.7
2019-09-14,Warangal Urban,0.8,28.0,36.0,88.6,100.0,1.0,15.8
2019-09-15,Warangal Urban,30.9,25.4,36.7,86.9,100.0,0.0,16.2
2019-09-16,Warangal Urban,10.4,27.5,36.6,90.8,100.0,0.0,16.9
2019-09-17,Warangal Urban,0.8,27.3,35.9,90.3,100.0,0.0,18.1
2019-09-18,Warangal Urban,49.8,24.9,36.2,87.3,100.0,0.0,22.6
2019-09-19,Warangal Urban,40.2,24.9,35.5,94.7,100.0,0.0,11.2
2019-09-20,Warangal Urban,18.5,25.2,36.7,93.5,100.0,0.0,13.3
2019-09-21,Warangal Urban,51.8,24.9,36.1,91.2,100.0,0.0,10.6
2019-09-22,Warangal Urban,40.8,25.0,36.6,87.4,100.0,0.0,10.5
2019-09-23,Warangal Urban,48.4,25.6,36.2,92.7,100.0,0.0,9.7
2019-09-24,Warangal Urban,6.0,25.1,35.6,87.5,100.0,0.0,12.6
2019-09-25,Warangal Urban,21.3,24.6,35.4,92.1,100.0,0.0,10.7
2019-09-26,Warangal Urban,13.7,24.9,34.4,96.6,100.0,1.8,14.5
2019-09-27,Warangal Urban,6.8,24.4,30.6,96.7,100.0,0.4,17.5
2019-09-28,Warangal Urban,7.7,24.9,33.9,97.1,100.0,0.1,14.9
2019-09-29,Warangal Urban,0.0,25.1,35.5,95.7,100.0,0.0,15.5
2019-09-30,Warangal Urban,3.5,24.8,35.9,94.7,100.0,0.0,25.0
2019-10-01,Warangal Urban,2.2,24.9,34.9,98.0,100.0,0.0,14.0
2019-10-02,Warangal Urban,42.8,22.3,36.3,90.8,100.0,0.0,27.3
2019-10-03,Warangal Urban,2.2,24.9,36.8,90.5,100.0,0.0,9.6
2019-10-04,Warangal Urban,18.5,24.9,35.4,89.9,100.0,0.0,9.9
2019-10-05,Warangal Urban,0.0,24.9,35.3,85.5,100.0,0.0,8.3
2019-10-06,Warangal Urban,5.2,24.9,35.9,75.8,100.0,0.0,7.9
2019-10-07,Warangal Urban,29.9,24.9,35.3,83.2,100.0,0.0,16.5
2019-10-08,Warangal Urban,0.0,24.9,36.1,80.0,100.0,0.0,7.1
2019-10-09,Warangal Urban,7.3,24.9,35.5,76.9,100.0,0.0,8.4
2019-10-10,Warangal Urban,8.8,24.9,35.2,75.5,100.0,0.0,9.8
2019-10-11,Warangal Urban,40.3,24.9,35.2,87.7,100.0,0.0,12.7
2019-10-12,Warangal Urban,53.3,23.8,35.4,85.5,100.0,0.0,13.3
2019-10-13,Warangal Urban,0.0,24.9,35.6,87.7,100.0,0.0,8.9
2019-10-14,Warangal Urban,1.3,24.9,36.4,86.0,100.0,0.0,9.3
2019-10-15,Warangal Urban,3.6,24.9,35.9,92.2,100.0,0.0,10.8
2019-10-16,Warangal Urban,21.5,24.9,35.2,86.9,100.0,0.1,9.7
2019-10-17,Warangal Urban,8.0,24.5,32.7,94.3,100.0,0.5,10.8
2019-10-18,Warangal Urban,39.9,24.9,35.9,82.5,100.0,0.1,15.2
2019-10-19,Warangal Urban,83.8,22.4,35.8,86.6,100.0,0.1,16.7
2019-10-20,Warangal Urban,30.4,24.6,35.6,93.0,100.0,0.2,12.0
2019-10-21,Warangal Urban,69.9,24.9,35.2,92.2,100.0,0.2,13.3
2019-10-22,Warangal Urban,5.5,24.9,35.2,89.0,100.0,0.0,8.6
2019-10-23,Warangal Urban,5.0,24.9,34.8,93.5,100.0,0.0,8.8
2019-10-24,Warangal Urban,25.8,23.2,35.2,92.6,100.0,0.0,11.6
2019-10-25,Warangal Urban,81.9,24.8,35.5,88.3,100.0,0.0,16.2
2019-10-26,Warangal Urban,28.3,24.9,35.6,86.6,100.0,0.0,12.0
2019-10-27,Warangal Urban,0.0,24.9,35.4,90.0,100.0,1.5,13.3
2019-10-28,Warangal Urban,0.0,24.9,35.5,89.1,100.0,0.0,11.4
2019-10-29,Warangal Urban,23.0,24.9,35.2,88.2,100.0,0.0,11.2
2019-10-30,Warangal Urban,2.8,24.9,35.2,94.3,100.0,0.0,14.1
2019-10-31,Warangal Urban,46.1,24.6,33.1,95.7,100.0,0.0,15.0
2019-11-01,Warangal Urban,18.0,24.9,33.5,91.5,100.0,0.0,9.0
2019-11-02,Warangal Urban,0.0,24.9,35.7,84.8,100.0,0.0,10.4
2019-11-03,Warangal Urban,60.3,23.2,35.2,86.8,100.0,0.0,11.9
2019-11-04,Warangal Urban,0.0,24.3,35.2,87.0,100.0,0.0,6.2
2019-11-05,Warangal Urban,0.0,22.4,35.8,69.3,100.0,0.4,7.7
2019-11-06,Warangal Urban,0.0,24.9,35.7,71.4,100.0,0.0,9.3
2019-11-07,Warangal Urban,0.0,22.4,34.8,71.4,100.0,0.0,7.9
2019-11-08,Warangal Urban,0.0,22.4,35.6,59.9,100.0,0.0,9.0
2019-11-09,Warangal Urban,0.0,22.4,35.4,65.5,100.0,0.2,8.4
2019-11-10,Warangal Urban,0.0,20.5,33.8,60.7,100.0,0.0,12.1
2019-11-11,Warangal Urban,0.0,22.4,33.1,65.5,100.0,0.3,10.4
2019-11-12,Warangal Urban,0.0,22.4,35.5,62.5,100.0,0.4,9.6
2019-11-13,Warangal Urban,0.0,21.8,32.9,57.1,100.0,0.0,11.7
2019-11-14,Warangal Urban,0.0,21.0,33.0,57.6,100.0,0.0,6.5
2019-11-15,Warangal Urban,0.0,22.4,32.6,61.0,100.0,0.0,8.6
2019-11-16,Warangal Urban,0.0,21.5,35.2,60.0,100.0,0.0,5.2
2019-11-17,Warangal Urban,0.0,22.0,34.1,64.2,100.0,0.0,6.8
2019-11-18,Warangal Urban,0.0,21.3,33.6,64.5,100.0,0.7,10.7
2019-11-19,Warangal Urban,0.0,22.4,33.3,57.2,100.0,0.0,10.7
2019-11-20,Warangal Urban,0.0,22.4,34.8,63.3,100.0,0.1,8.2
2019-11-21,Warangal Urban,0.0,22.4,33.4,59.7,100.0,0.0,11.2
2019-11-22,Warangal Urban,0.0,22.4,33.2,63.1,100.0,0.0,11.6
2019-11-23,Warangal Urban,0.0,21.8,34.1,54.4,100.0,0.0,6.6
2019-11-24,Warangal Urban,0.0,21.8,35.1,50.6,100.0,0.7,9.5
2019-11-25,Warangal Urban,0.0,20.2,32.2,58.9,100.0,0.0,11.2
2019-11-26,Warangal Urban,0.0,22.3,34.8,62.0,100.0,0.0,10.1
2019-11-27,Warangal Urban,0.0,21.8,33.2,57.5,100.0,0.1,12.4
2019-11-28,Warangal Urban,0.0,20.4,33.3,50.8,100.0,0.0,8.2
2019-11-29,Warangal Urban,0.0,22.4,33.3,63.8,100.0,0.0,11.1
2019-11-30,Warangal Urban,0.0,22.4,33.3,60.5,100.0,0.0,14.7
2019-12-01,Warangal Urban,0.0,24.0,35.2,58.0,100.0,0.0,9.7
