Date,District,cumm_rainfall,temp_min,temp_max,humidity_min,humidity_max,wind_speed_min,wind_speed_max
2018-01-01,Warangal,0.0,17.8,34.9,44.9,100.0,0.0,16.6
2018-01-02,Warangal,0.0,19.3,34.9,49.4,100.0,0.0,17.2
2018-01-03,Warangal,0.0,19.3,34.6,53.6,100.0,0.4,16.4
2018-01-04,Warangal,0.0,17.0,33.0,43.3,100.0,2.4,20.9
2018-01-05,Warangal,0.0,17.5,32.5,45.2,100.0,0.0,17.4
2018-01-06,Warangal,0.0,16.5,34.9,41.6,100.0,0.0,19.4
2018-01-07,Warangal,0.0,16.7,34.6,44.9,100.0,0.0,19.9
2018-01-08,Warangal,0.0,17.9,34.62,51.8,100.0,4.0,17.2
2018-01-09,Warangal,0.0,19.3,32.5,47.4,100.0,0.2,22.4
2018-01-10,Warangal,0.0,18.1,32.8,52.2,100.0,1.4,15.2
2018-01-11,Warangal,0.0,19.3,34.6,41.9,100.0,2.5,16.4
2018-01-12,Warangal,0.0,19.3,35.6,41.6,100.0,0.9,15.7
2018-01-13,Warangal,0.0,20.1,34.9,60.5,100.0,2.6,16.0
2018-01-14,Warangal,0.0,21.8,35.0,38.8,100.0,2.6,21.8
2018-01-15,Warangal,0.0,21.4,34.6,59.7,100.0,4.4,19.1
2018-01-16,Warangal,0.0,19.4,35.0,49.6,100.0,0.3,16.2
2018-01-17,Warangal,0.0,19.0,35.2,52.7,100.0,1.9,18.0
2018-01-18,Warangal,0.0,19.7,34.9,72.2,100.0,3.5,20.5
2018-01-19,Warangal,0.0,16.7,34.6,46.5,100.0,0.2,19.2
2018-01-20,Warangal,0.0,14.6,34.6,45.7,100.0,2.2,10.0
2018-01-21,Warangal,0.0,19.3,34.6,53.9,100.0,0.0,13.7
2018-01-22,Warangal,0.0,19.1,34.6,46.5,100.0,1.8,15.3
2018-01-23,Warangal,0.0,17.7,34.6,53.7,100.0,4.3,21.0
2018-01-24,Warangal,0.0,21.9,34.6,46.5,100.0,2.1,27.8
2018-01-25,Warangal,0.0,19.4,34.6,56.4,100.0,6.4,16.0
2018-01-26,Warangal,0.0,19.3,34.6,43.9,100.0,1.6,22.0
2018-01-27,Warangal,0.0,16.6,35.1,30.4,100.0,0.0,14.1
2018-01-28,Warangal,0.0,19.3,34.6,43.2,100.0,1.5,15.1
2018-01-29,Warangal,0.0,18.0,35.0,46.8,100.0,0.0,15.0
2018-01-30,Warangal,0.0,17.7,34.6,45.8,100.0,1.8,16.2
2018-01-31,Warangal,0.0,17.2,34.6,39.8,100.0,5.3,22.4
2018-02-01,Warangal,0.0,17.8,35.8,30.2,100.0,0.9,22.5
2018-02-02,Warangal,0.0,15.8,35.7,25.1,100.0,2.0,22.9
2018-02-03,Warangal,0.0,17.3,35.8,23.8,100.0,1.5,16.3
2018-02-04,Warangal,0.0,16.7,34.6,39.7,100.0,3.4,26.5
2018-02-05,Warangal,0.0,18.2,34.6,34.8,100.0,3.0,19.7
2018-02-06,Warangal,0.0,18.1,35.6,42.6,100.0,2.1,16.6
2018-02-07,Warangal,0.0,22.0,35.7,43.1,99.9,0.1,17.1
2018-02-08,Warangal,0.3,21.8,32.2,45.5,99.9,1.5,19.0
2018-02-09,Warangal,0.0,22.0,36.0,36.0,100.0,0.0,16.9
2018-02-10,Warangal,1.5,22.4,35.2,53.3,100.0,0.0,20.3
2018-02-11,Warangal,0.3,23.0,34.6,59.7,100.0,0.0,22.1
2018-02-12,Warangal,0.3,22.3,32.6,58.3,100.0,4.0,27.1
2018-02-13,Warangal,0.3,22.7,34.6,50.7,100.0,5.9,23.3
2018-02-14,Warangal,0.0,21.8,34.6,50.7,100.0,0.0,18.1
2018-02-15,Warangal,0.0,20.4,35.7,41.1,100.0,0.9,18.1
2018-02-16,Warangal,0.0,21.8,36.0,47.4,100.0,0.8,20.1
2018-02-17,Warangal,0.0,21.8,35.4,36.4,100.0,0.0,24.3
2018-02-18,Warangal,0.0,19.7,37.0,30.7,100.0,0.0,18.8
2018-02-19,Warangal,0.0,21.8,36.4,46.5,100.0,0.0,19.6
2018-02-20,Warangal,0.0,24.1,35.9,42.6,100.0,1.0,24.8
2018-02-21,Warangal,0.0,21.8,37.2,43.8,100.0,3.8,24.1
2018-02-22,Warangal,0.0,26.3,37.3,46.8,80.9,0.0,19.4
2018-02-23,Warangal,0.0,20.3,37.2,39.7,100.0,0.0,16.5
2018-02-24,Warangal,0.0,24.4,37.3,40.0,100.0,2.8,26.2
2018-02-25,Warangal,0.0,19.3,37.2,32.2,100.0,1.0,23.1
2018-02-26,Warangal,0.0,21.8,37.8,27.3,100.0,0.0,16.4
2018-02-27,Warangal,0.0,20.5,38.8,30.9,96.6,0.0,15.9
2018-02-28,Warangal,0.0,21.8,39.0,31.0,92.1,0.0,20.0
2018-03-01,Warangal,0.0,23.6,38.8,25.5,100.0,0.0,20.6
2018-03-02,Warangal,0.0,24.4,38.5,30.7,85.5,0.0,16.9
2018-03-03,Warangal,0.0,21.8,38.9,25.0,83.2,0.0,20.5
2018-03-04,Warangal,0.0,24.0,40.3,28.4,73.9,1.8,17.6
2018-03-05,Warangal,0.0,22.6,40.3,25.7,85.7,3.1,28.0
2018-03-06,Warangal,0.0,21.8,38.0,31.1,76.7,1.5,25.7
2018-03-07,Warangal,0.0,22.3,38.4,26.6,100.0,1.5,20.2
2018-03-08,Warangal,0.0,23.6,37.8,30.5,90.9,0.0,21.3
2018-03-09,Warangal,0.0,22.2,38.0,30.7,92.8,0.0,20.9
2018-03-10,Warangal,0.0,24.3,37.9,39.4,100.0,0.0,16.8
2018-03-11,Warangal,0.0,24.4,38.0,39.7,96.9,0.0,20.2
2018-03-12,Warangal,0.0,24.4,37.9,32.9,100.0,0.0,18.9
2018-03-13,Warangal,0.0,23.1,37.8,37.8,99.9,3.3,22.5
2018-03-14,Warangal,0.0,24.4,38.7,32.3,92.1,1.2,25.6
2018-03-15,Warangal,0.0,27.7,38.8,32.8,99.9,4.0,19.6
2018-03-16,Warangal,0.0,26.9,37.9,38.0,99.9,0.4,31.0
2018-03-17,Warangal,6.8,21.5,34.6,55.0,100.0,1.8,40.6
2018-03-18,Warangal,0.5,23.6,35.6,55.0,100.0,0.0,22.7
2018-03-19,Warangal,0.0,24.4,37.8,45.4,100.0,0.0,19.9
2018-03-20,Warangal,0.0,24.5,38.3,39.4,96.9,1.7,15.7
2018-03-21,Warangal,0.0,27.0,38.3,31.8,87.0,3.7,22.0
2018-03-22,Warangal,0.0,27.1,38.7,31.3,86.0,1.9,20.2
2018-03-23,Warangal,0.0,23.9,40.3,30.9,85.4,0.0,24.4
2018-03-24,Warangal,0.0,23.1,41.2,26.5,100.0,0.0,25.5
2018-03-25,Warangal,0.0,25.2,41.5,26.1,100.0,0.0,17.0
2018-03-26,Warangal,0.0,26.9,39.0,48.1,100.0,0.0,17.5
2018-03-27,Warangal,0.0,26.0,38.9,37.6,100.0,0.1,15.2
2018-03-28,Warangal,0.0,26.9,40.7,29.8,100.0,0.3,19.8
2018-03-29,Warangal,0.0,27.7,40.3,35.3,100.0,6.2,23.1
2018-03-30,Warangal,0.0,26.8,40.6,38.5,100.0,0.8,19.1
2018-03-31,Warangal,2.8,26.5,40.4,47.7,100.0,3.3,21.7
2018-04-01,Warangal,2.3,26.8,39.0,55.4,100.0,3.9,21.3
2018-04-02,Warangal,10.0,24.4,40.3,46.8,98.3,3.2,32.0
2018-04-03,Warangal,0.0,26.9,37.2,55.4,100.0,2.1,31.4
2018-04-04,Warangal,0.0,25.5,38.2,49.9,100.0,3.3,26.2
2018-04-05,Warangal,0.0,26.9,38.2,47.9,100.0,4.5,27.9
2018-04-06,Warangal,2.0,26.1,37.9,55.2,100.0,2.6,21.7
2018-04-07,Warangal,2.5,27.4,38.0,48.6,91.1,2.7,28.4
2018-04-08,Warangal,45.3,24.2,39.3,38.4,100.0,2.2,26.5
2018-04-09,Warangal,14.8,21.2,37.2,54.0,100.0,0.0,18.6
2018-04-10,Warangal,0.0,25.5,37.5,54.8,100.0,6.8,19.3
2018-04-11,Warangal,0.0,26.9,37.8,47.1,100.0,12.1,27.7
2018-04-12,Warangal,0.0,25.8,38.8,40.8,99.9,0.0,31.8
2018-04-13,Warangal,0.0,27.4,38.3,45.4,100.0,4.5,23.3
