Dcode,Mcode,District,Mandal,Date,Rain (mm),Temp Min (°C),Temp Max (°C),Humidity Min (%),Humidity Max (%),Wind Speed Min (Kmph),Wind Speed Max (Kmph)
1,1,Adilabad,Bheempoor,1-Oct-20,0,23.3,33.7,66.8,96,0,1.4
1,1,Adilabad,Bheempoor,2-Oct-20,0,23.4,33.6,66.1,95.9,0,1.6
1,1,Adilabad,Bheempoor,3-Oct-20,0,23.2,35.2,53.8,74.9,0.6,2
1,1,Adilabad,Bheempoor,4-Oct-20,0,22.1,34.4,43.9,85.2,0.2,5.9
1,1,Adilabad,Bheempoor,5-Oct-20,0,20.6,35.5,47.9,95.5,0,1.2
1,1,Adilabad,Bheempoor,6-Oct-20,0,21.7,35,44.3,94.9,0,2.3
1,1,Adilabad,Bheempoor,7-Oct-20,0,24.3,33.3,51.7,93.3,0,1.6
1,1,Adilabad,Bheempoor,8-Oct-20,2.3,21.9,26.7,78.3,99,0,1.5
1,1,Adilabad,Bheempoor,9-Oct-20,0,23.5,31.7,72.8,99.3,0,1.1
1,1,Adilabad,Bheempoor,10-Oct-20,0,23.1,32.9,70.7,96.9,0.1,0.9
1,1,Adilabad,Bheempoor,11-Oct-20,0,23.6,34.7,61.1,94.8,0,3
1,1,Adilabad,Bheempoor,12-Oct-20,20.6,22.6,31.8,69.9,97.4,0,5.4
1,1,Adilabad,Bheempoor,13-Oct-20,0,23.2,33.2,71.1,99.5,0.1,0.9
1,1,Adilabad,Bheempoor,14-Oct-20,0,25.1,30.7,71.2,88,0,1.3
1,1,Adilabad,Bheempoor,15-Oct-20,0,24.1,31.1,71.8,96.5,0.1,6.3
1,1,Adilabad,Bheempoor,16-Oct-20,0,24.1,29.5,82.8,99.3,0,1.6
1,1,Adilabad,Bheempoor,17-Oct-20,0,24.6,31.4,74.1,98.8,0,1.4
1,1,Adilabad,Bheempoor,18-Oct-20,5.8,23.3,33.1,69.5,99.3,0,1.4
